,dir,idx,psnr,ssim,time,score
60,0036_002_GP_06400_03200_3200_N,0,37.71793,0.94393,3.38min,34.97414666666667
61,0036_002_GP_06400_03200_3200_N,1,37.74551,0.94388,3.41min,35.04269333333334
62,0038_002_GP_00800_00640_3200_L,0,55.93544,0.99625,3.40min,88.78617333333332
63,0038_002_GP_00800_00640_3200_L,1,55.91599,0.99624,3.40min,88.73330666666668
64,0039_002_IP_00100_00180_5500_L,0,56.30792,0.99808,3.38min,89.96245333333334
65,0039_002_IP_00100_00180_5500_L,1,56.31156,0.99808,3.31min,89.97216
66,0040_002_IP_00800_02000_5500_L,0,61.32847,0.99575,3.42min,103.11758666666665
67,0040_002_IP_00800_02000_5500_L,1,61.32601,0.99573,3.32min,103.10902666666667
68,0042_002_IP_01600_03100_5500_N,0,58.49132,0.99718,3.35min,95.69485333333334
69,0042_002_IP_01600_03100_5500_N,1,58.45324,0.99726,3.32min,95.60130666666667
70,0043_002_IP_00800_01520_5500_N,0,54.89242,0.99712,3.30min,86.09178666666666
71,0043_002_IP_00800_01520_5500_N,1,54.72398,0.99709,3.30min,85.63961333333333
72,0044_002_IP_00100_00180_5500_N,0,46.3004,0.99059,3.30min,62.52673333333334
73,0044_002_IP_00100_00180_5500_N,1,46.32071,0.99043,3.33min,62.56489333333333
74,0045_002_G4_00100_00060_3200_L,0,56.43401,0.99839,4.38min,90.32969333333334
75,0045_002_G4_00100_00060_3200_L,1,56.95513,0.99848,4.38min,91.72834666666667
76,0047_002_G4_00800_00640_3200_L,0,53.71581,0.98972,4.38min,82.21416
77,0047_002_G4_00800_00640_3200_L,1,53.92993,0.98987,4.33min,82.80014666666668
78,0048_002_N6_00100_00100_5500_L,0,58.87145,0.99851,3.60min,96.84153333333335
79,0048_002_N6_00100_00100_5500_L,1,59.01156,0.99861,3.58min,97.22516
80,0050_002_N6_03200_03200_5500_L,0,47.07479,0.97817,3.61min,63.34977333333334
81,0050_002_N6_03200_03200_5500_L,1,47.1496,0.97869,3.61min,63.60126666666665
82,0051_002_S6_00100_00060_5500_N,0,40.81957,0.98646,4.40min,47.49818666666666
83,0051_002_S6_00100_00060_5500_N,1,41.00946,0.98674,4.40min,48.03255999999998
84,0052_002_S6_01600_01000_5500_N,0,38.24753,0.96141,4.37min,38.13441333333332
85,0052_002_S6_01600_01000_5500_N,1,38.17038,0.96114,4.39min,37.90168
86,0054_003_N6_00100_00160_5500_N,0,47.35961,0.99396,3.63min,65.68829333333333
87,0054_003_N6_00100_00160_5500_N,1,47.9657,0.99436,3.65min,67.34453333333332
88,0055_003_N6_00800_01000_5500_N,0,45.78055,0.99035,3.59min,61.11646666666666
89,0055_003_N6_00800_01000_5500_N,1,46.31127,0.99049,3.60min,62.54572
90,0057_003_G4_00100_00125_5500_L,0,57.41356,0.99815,4.45min,92.91782666666664
91,0057_003_G4_00100_00125_5500_L,1,57.26467,0.99818,4.40min,92.52378666666668
92,0059_003_G4_00800_01000_5500_L,0,54.00243,0.98806,4.41min,82.81248
93,0059_003_G4_00800_01000_5500_L,1,54.14282,0.98809,4.38min,83.18985333333333
94,0060_003_S6_00100_00100_4400_L,0,57.11061,0.99825,4.49min,92.11996
95,0060_003_S6_00100_00100_4400_L,1,57.40449,0.99834,4.47min,92.91264
