,dir,idx,psnr,ssim,time,score
301,0191_008_IP_01600_01600_3200_N,1,56.19088,0.99586,3.37min,89.42834666666666
302,0192_009_IP_00100_00200_3200_N,0,50.3282,0.99553,3.42min,73.76153333333335
303,0192_009_IP_00100_00200_3200_N,1,50.53555,0.99544,3.43min,74.30546666666666
304,0193_009_IP_00800_02000_3200_N,0,59.13729,0.99771,3.39min,97.47044
305,0193_009_IP_00800_02000_3200_N,1,59.164,0.99772,3.34min,97.54266666666668
306,0194_009_IP_01600_04000_3200_N,0,60.4269,0.99743,3.35min,100.88140000000001
307,0194_009_IP_01600_04000_3200_N,1,60.42804,0.99743,3.34min,100.88444000000001
308,0195_009_IP_01600_04000_5500_L,0,62.78931,0.99584,3.35min,107.02216
309,0195_009_IP_01600_04000_5500_L,1,62.80688,0.99586,3.33min,107.07101333333333
310,0196_009_IP_00800_02000_5500_L,0,62.88143,0.99678,3.31min,107.36181333333334
311,0196_009_IP_00800_02000_5500_L,1,62.86869,0.99675,3.30min,107.32484000000002
312,0197_009_IP_00100_00200_5500_L,0,63.53235,0.99857,3.30min,109.27660000000002
313,0197_009_IP_00100_00200_5500_L,1,63.4142,0.99861,3.31min,108.96553333333334
314,0198_010_GP_00100_00200_5500_N,0,47.2752,0.99028,3.35min,65.09519999999999
315,0198_010_GP_00100_00200_5500_N,1,47.39007,0.99023,3.35min,65.39652000000001
316,0199_010_GP_00800_01600_5500_N,0,45.9033,0.98412,3.36min,60.8208
317,0199_010_GP_00800_01600_5500_N,1,45.86045,0.98413,3.35min,60.70753333333333
318,0200_010_GP_01600_03200_5500_N,0,45.01859,0.98004,3.35min,58.05357333333334
319,0200_010_GP_01600_03200_5500_N,1,45.00672,0.98001,3.35min,58.01892000000001
